node1,node2,size,edges,biggroup,timestamp
258,4034,12,16259,1612,1447766643.568540
265,4078,12,16258,1612,1447766744.690510
3946,6261,12,16257,1612,1447766845.859622
2083,6801,12,16256,1612,1447766946.843303
1062,3407,12,16255,1612,1447767048.261578
6789,6964,12,16254,1612,1447767149.300331
2119,2543,12,16253,1612,1447767250.889770
2546,5160,12,16252,1612,1447767352.077518
4474,5570,12,16251,1612,1447767453.218895
4474,6925,12,16250,1612,1447767554.680245
876,2116,12,16249,1612,1447767655.768225
1052,7039,12,16248,1612,1447767756.830897
2116,6925,12,16247,1612,1447767858.121457
2116,4786,12,16246,1612,1447767959.167739
2691,5547,13,16245,1612,1447768056.147332
718,2046,13,16244,1612,1447768152.790819
2292,3844,13,16243,1612,1447768249.417411
134,1324,13,16242,1612,1447768346.048282
449,1661,13,16241,1612,1447768442.574489
449,1062,13,16240,1612,1447768539.244381
5558,6495,13,16239,1612,1447768635.870994
5036,5037,13,16238,1612,1447768732.346824
2212,5557,13,16237,1612,1447768828.884533
2058,5557,13,16236,1612,1447768925.363843
136,1324,13,16235,1612,1447769021.914794
1324,7206,13,16234,1612,1447769118.423064
1324,1740,13,16233,1612,1447769214.868724
2177,2802,13,16232,1612,1447769311.193225
2175,3334,13,16231,1612,1447769408.224069
1741,5558,13,16230,1612,1447769504.699502
1162,1318,13,16229,1612,1447769601.695655
5277,5388,13,16228,1612,1447769698.854299
4622,5936,13,16227,1612,1447769796.386706
3338,4388,13,16226,1612,1447769893.693873
1249,1451,13,16225,1612,1447769991.257060
453,7183,13,16224,1612,1447770088.991070
3946,7170,13,16223,1612,1447770186.448085
3179,4625,13,16222,1612,1447770283.841707
451,3508,13,16221,1612,1447770381.332160
664,3433,13,16220,1612,1447770478.577438
2753,3506,13,16219,1612,1447770575.990163
2593,3557,13,16218,1612,1447770673.558885
3315,5166,13,16217,1612,1447770771.117623
2136,7128,13,16216,1612,1447770868.571316
1969,2661,13,16215,1612,1447770966.122457
1914,6756,13,16214,1612,1447771063.680173
6756,6759,13,16213,1612,1447771161.212977
2136,2377,13,16212,1612,1447771258.602980
456,4223,13,16211,1612,1447771356.277725
3194,6807,13,16210,1612,1447771453.778763
2082,7128,13,16209,1612,1447771551.120045
1245,2082,13,16208,1612,1447771648.596467
5486,7170,13,16207,1612,1447771746.213586
456,7170,13,16206,1612,1447771843.887761
4052,4685,13,16205,1612,1447771941.345197
4052,5988,13,16204,1612,1447772039.669155
5988,6810,13,16203,1612,1447772136.835462
3123,4243,13,16202,1612,1447772234.095984
1129,6810,13,16201,1612,1447772331.358930
3302,3351,13,16200,1612,1447772428.509011
2080,2081,13,16199,1612,1447772525.947243
141,1762,13,16198,1612,1447772622.928239
1276,3095,13,16197,1612,1447772720.164275
3871,5390,13,16196,1612,1447772817.349527
3179,4051,13,16195,1612,1447772914.698125
3872,4051,13,16194,1612,1447773011.921913
2082,3351,13,16193,1612,1447773110.175890
1276,4135,13,16192,1612,1447773207.449131
1762,6628,13,16191,1612,1447773304.804468
2760,5280,13,16190,1612,1447773402.104298
4249,5321,13,16189,1612,1447773499.591219
4249,5279,13,16188,1612,1447773595.586206
2759,5319,13,16187,1612,1447773692.040534
2757,3283,13,16186,1612,1447773788.545019
2757,4248,13,16185,1612,1447773884.076403
3817,5319,13,16184,1612,1447773979.644602
3624,3814,13,16183,1612,1447774075.343302
5067,5317,13,16182,1612,1447774170.890781
3161,3509,13,16181,1612,1447774266.586119
3507,3624,13,16180,1612,1447774362.301443
2750,5067,13,16179,1612,1447774457.703965
1742,3335,13,16178,1612,1447774552.968487
2114,5621,13,16177,1612,1447774648.599859
1859,1860,13,16176,1612,1447774743.959850
136,6581,13,16175,1612,1447774839.340382
6581,7205,13,16174,1612,1447774934.706567
2473,3431,13,16173,1612,1447775029.967851
132,3042,13,16172,1612,1447775125.242022
132,2473,13,16171,1612,1447775220.596366
1991,5922,13,16170,1612,1447775315.969632
1766,1991,13,16169,1612,1447775411.279018
1991,3042,13,16168,1612,1447775506.447336
1774,2270,14,16167,1612,1447775591.073306
2027,3672,14,16166,1612,1447775675.328560
3906,7116,14,16165,1612,1447775759.668223
3605,3606,14,16164,1612,1447775843.914780
2885,7116,14,16163,1612,1447775928.421454
3356,3536,14,16162,1612,1447776012.801463
1378,3848,14,16161,1612,1447776097.129082
2270,3536,14,16160,1612,1447776181.391382
867,2588,14,16159,1612,1447776265.950369
3186,3632,14,16158,1612,1447776350.080052
3974,5326,14,16157,1612,1447776434.376321
1246,6783,15,16156,1612,1447776513.726118
1246,6846,15,16155,1612,1447776592.940625
2566,6460,15,16154,1612,1447776672.148452
3140,5762,15,16153,1612,1447776751.317278
2468,5303,15,16152,1612,1447776830.408505
1688,4422,15,16151,1612,1447776909.327488
1033,7286,15,16150,1612,1447776988.303410
2037,4127,15,16149,1612,1447777067.185122
2232,3265,15,16148,1612,1447777146.087187
1137,3952,15,16147,1612,1447777224.994539
3951,6993,15,16146,1612,1447777303.769826
4397,6597,15,16145,1612,1447777383.175002
3133,4237,15,16144,1612,1447777462.480668
4237,4239,15,16143,1612,1447777541.190966
3952,4465,15,16142,1612,1447777619.924272
4237,7276,15,16141,1612,1447777698.826858
1032,3428,15,16140,1612,1447777777.579797
1539,5503,15,16139,1612,1447777856.386259
1033,1438,15,16138,1612,1447777935.108768
939,4127,15,16137,1612,1447778013.700805
2181,6715,15,16136,1612,1447778092.491664
939,2181,15,16135,1612,1447778171.669701
6715,6852,15,16134,1612,1447778251.001368
24,1346,15,16133,1612,1447778329.941820
5425,7289,15,16132,1612,1447778409.035497
1036,5194,15,16131,1612,1447778488.262893
2635,2682,15,16130,1612,1447778567.744729
2736,6848,15,16129,1612,1447778646.890204
1036,2452,15,16128,1612,1447778725.775633
1418,7246,15,16127,1612,1447778804.737981
1036,1418,15,16126,1612,1447778883.783418
583,3313,16,16125,1385,1447778957.528694
2040,6716,16,16124,1385,1447779031.228268
1345,3579,16,16123,1385,1447779104.693708
1344,4462,16,16122,1385,1447779177.802853
3493,5372,16,16121,1385,1447779250.936652
645,3265,16,16120,1385,1447779324.000246
60,645,16,16119,1385,1447779397.020305
795,1878,16,16118,1385,1447779470.128557
2691,5493,16,16117,1385,1447779543.570410
1455,2046,16,16116,1385,1447779616.954955
1372,2046,16,16115,1385,1447779690.238433
2046,5546,16,16114,1385,1447779763.321025
1370,5839,16,16113,1385,1447779836.349651
3554,4074,16,16112,1385,1447779909.328248
52,4074,16,16111,1385,1447779982.380362
3553,4056,16,16110,1385,1447780055.682475
3489,3490,16,16109,1385,1447780128.876945
122,3553,16,16108,1385,1447780201.909519
5761,6461,16,16107,1385,1447780275.001265
3361,4056,16,16106,1385,1447780347.955289
3266,3865,16,16105,1385,1447780421.180255
1461,5380,16,16104,1385,1447780494.359746
1283,5660,16,16103,1385,1447780567.535610
1290,6309,16,16102,1385,1447780640.729388
1215,1806,16,16101,1385,1447780713.747582
53,4077,16,16100,1385,1447780786.878005
966,1031,16,16099,1385,1447780860.124841
583,1344,16,16098,1385,1447780933.256702
1540,5491,16,16097,1385,1447781006.565408
476,966,16,16096,1385,1447781079.853011
1464,4080,16,16095,1385,1447781152.881767
4079,7148,16,16094,1385,1447781226.050210
968,2053,16,16093,1385,1447781299.330374
1464,2053,16,16092,1385,1447781372.681420
21,2354,16,16091,1385,1447781445.953027
3313,3579,16,16090,1385,1447781519.225411
459,2040,16,16089,1385,1447781592.261922
2968,5769,16,16088,1385,1447781665.805035
3223,3576,16,16087,1385,1447781738.840557
5768,6882,16,16086,1385,1447781811.978489
2968,6882,16,16085,1385,1447781884.816887
4674,7160,17,16084,1269,1447781955.275847
3071,5048,17,16083,1269,1447782025.764430
927,6025,17,16082,1269,1447782095.961473
1505,1542,17,16081,1269,1447782166.193259
927,5493,17,16080,1269,1447782236.333393
1542,5839,17,16079,1269,1447782306.413872
718,5001,17,16078,1269,1447782376.376460
718,1505,17,16077,1269,1447782446.362583
5836,6543,17,16076,1269,1447782516.734565
1284,5061,17,16075,1269,1447782587.325675
2745,6461,17,16074,1269,1447782658.053459
3140,6461,17,16073,1269,1447782729.128988
5498,5836,17,16072,1269,1447782800.714805
286,795,17,16071,1269,1447782872.305758
286,1285,17,16070,1269,1447782944.064212
419,1369,17,16069,1269,1447783016.665173
419,1370,17,16068,1269,1447783089.075037
3406,6147,17,16067,1269,1447783160.452023
1348,3406,17,16066,1269,1447783232.116144
2691,5498,17,16065,1269,1447783304.124846
2048,6054,17,16064,1269,1447783377.348012
3138,7050,17,16063,1269,1447783450.803848
3139,6462,17,16062,1269,1447783523.271734
3138,5762,17,16061,1269,1447783595.259068
115,3150,17,16060,1269,1447783667.005344
2576,6146,17,16059,1269,1447783738.968388
3150,6146,17,16058,1269,1447783810.768182
5953,6030,17,16057,1269,1447783882.073644
5308,5835,17,16056,1269,1447783954.009950
5544,6061,17,16055,1269,1447784025.260663
1256,1723,17,16054,1269,1447784096.699402
1723,5305,17,16053,1269,1447784168.242763
4343,6062,17,16052,1269,1447784239.901316
5305,5739,17,16051,1269,1447784311.506896
5305,6062,17,16050,1269,1447784382.909270
1505,5001,17,16049,1269,1447784454.697588
1237,1505,17,16048,1269,1447784526.532578
434,1348,17,16047,1269,1447784598.371548
1235,1236,17,16046,1269,1447784669.620490
1235,1348,17,16045,1269,1447784741.475758
433,5551,17,16044,1269,1447784813.160389
1235,5551,17,16043,1269,1447784884.767022
