(source, target),num_edges,timestamp
(1546, 1545),16061,1447752577.534215
(1038, 5550),16060,1447752577.962492
(5496, 5550),16059,1447752578.339899
(6401, 5118),16058,1447752578.735902
(6052, 787),16057,1447752579.114266
(787, 7106),16056,1447752579.493452
(7106, 6401),16055,1447752579.880264
(4305, 3510),16054,1447752580.312898
(1770, 4305),16053,1447752580.666685
(3968, 1770),16052,1447752581.005364
(4251, 4252),16051,1447752581.376943
(3967, 1770),16050,1447752581.765811
(3967, 4251),16049,1447752582.142900
(4251, 3966),16048,1447752582.499853
(5158, 4655),16047,1447752582.917933
(4941, 5158),16046,1447752583.320509
(4941, 4656),16045,1447752583.679743
(5935, 4977),16044,1447752584.076510
(6085, 4621),16043,1447752584.442721
(6697, 828),16042,1447752584.806816
(6697, 6077),16041,1447752585.244022
(4359, 1205),16040,1447752585.640251
(6078, 1731),16039,1447752586.007738
(4362, 6480),16038,1447752586.361840
(781, 6480),16037,1447752586.722356
(5965, 5600),16036,1447752587.079154
(3453, 3039),16035,1447752587.501806
(5600, 3039),16034,1447752587.864796
(780, 1209),16033,1447752588.235879
(1738, 1649),16032,1447752588.589321
(6519, 3039),16031,1447752588.976162
(5965, 3148),16030,1447752589.319371
(3148, 781),16029,1447752589.746307
(3148, 5523),16028,1447752590.117619
(1739, 3453),16027,1447752590.493007
(6519, 1739),16026,1447752590.870144
(3007, 3003),16025,1447752591.226347
(2161, 973),16024,1447752591.591078
(7012, 3002),16023,1447752592.017043
(3452, 3002),16022,1447752592.381881
(3038, 3006),16021,1447752592.770819
(2602, 1017),16020,1447752593.135486
(2602, 1497),16019,1447752593.505617
(1497, 444),16018,1447752593.881507
(444, 198),16017,1447752594.282847
(6166, 6163),16016,1447752594.643270
(694, 4731),16015,1447752595.003870
(5939, 5169),16014,1447752595.363402
(5940, 5169),16013,1447752595.730927
(3492, 5436),16012,1447752596.122923
(6168, 4731),16011,1447752596.531974
(4628, 6095),16010,1447752596.903022
(5939, 4628),16009,1447752597.279220
(5940, 695),16008,1447752597.658658
(4731, 5940),16007,1447752598.023170
(6395, 3074),16006,1447752598.400100
(6394, 1277),16005,1447752598.815587
(3074, 707),16004,1447752599.187284
(1277, 707),16003,1447752599.547111
(6393, 707),16002,1447752599.927183
(707, 3651),16001,1447752600.299965
(4996, 1277),16000,1447752600.667168
(3651, 4996),15999,1447752601.090795
(4864, 4995),15998,1447752601.458821
(4996, 4995),15997,1447752601.838494
(4712, 3678),15996,1447752602.211441
(6359, 3678),15995,1447752602.590183
(6359, 4101),15994,1447752602.957987
(4712, 3549),15993,1447752603.376773
(3678, 3676),15992,1447752603.717266
(3550, 2501),15991,1447752604.079070
(3676, 3549),15990,1447752604.433975
(3549, 2501),15989,1447752604.801841
(4885, 4101),15988,1447752605.161542
(4885, 4715),15987,1447752605.574037
(5462, 326),15986,1447752605.955357
(7086, 5097),15985,1447752606.327802
(7082, 1167),15984,1447752606.704123
(1169, 7082),15983,1447752607.085649
(5399, 5765),15982,1447752607.455606
(5765, 5047),15981,1447752607.882339
(3570, 4324),15980,1447752608.260507
(3571, 4247),15979,1447752608.609253
(5400, 3571),15978,1447752608.975136
(3571, 3570),15977,1447752609.347266
(3742, 3570),15976,1447752609.721808
(3742, 5047),15975,1447752610.126502
(5846, 1010),15974,1447752610.493720
(5846, 5843),15973,1447752610.867856
(5842, 5704),15972,1447752611.245465
(2896, 2895),15971,1447752611.612573
(4045, 2322),15970,1447752611.979861
(2267, 5291),15969,1447752612.393466
(2898, 2900),15968,1447752612.755933
(2322, 2268),15967,1447752613.127588
(5781, 1208),15966,1447752613.508618
(6514, 5781),15965,1447752613.868522
(357, 5781),15964,1447752614.232117
(5521, 5781),15963,1447752614.646836
(6978, 5521),15962,1447752615.002727
(6978, 3645),15961,1447752615.358771
(5592, 5520),15960,1447752615.734219
(5414, 3645),15959,1447752616.088198
(5412, 355),15958,1447752616.447247
(5592, 355),15957,1447752616.878467
